id;feature;answer
95;2,45;4
95;0,59;2
95;0,65;1
9;2,15;4
9;1,52;3
9;0,54;2
9;0,72;1
295;3,51;4
295;1,32;3
295;0,84;2
295;0,55;1
199;4,30;4
135;2,46;4
135;1,57;3
135;0,65;2
135;0,39;1
122;2,37;4
122;1,33;3
122;0,71;2
122;0,59;1
39;3,31;4
39;1,49;3
39;0,74;2
39;0,52;1
11;2,46;4
11;1,50;3
11;0,70;2
11;0,45;1
88;2,43;4
88;1,35;3
88;0,71;2
88;0,48;1
140;2,53;4
140;1,47;3
140;0,68;2
140;0,34;1
22;1,92;4
22;1,34;3
22;0,77;2
22;0,49;1
45;2,55;4
45;2,27;3
45;0,96;2
45;0,70;1
197;2,29;4
197;0,60;2
197;0,49;1